frame,time,a_Ow_H2_OD2,a_Ow_HH12_OD2
0,0.0000,162.0275,45.0653
1,0.1000,148.9477,73.6715
2,0.2000,172.3835,58.2364
3,0.3000,146.4099,69.0626
4,0.4000,178.6516,56.4647
5,0.5000,170.3772,57.1280
6,0.6000,170.8032,60.9237
7,0.7000,164.8223,69.6389
8,0.8000,141.4325,71.5416
9,0.9000,176.2971,64.6109
10,1.0000,144.5548,66.4768
11,1.1000,167.3722,65.8780
12,1.2000,165.3087,62.9361
13,1.3000,160.2368,56.3173
14,1.4000,164.9469,59.8618
15,1.5000,170.3384,64.4539
16,1.6000,159.7029,67.0343
17,1.7000,133.1027,76.4585
18,1.8000,157.8776,63.8388
19,1.9000,169.3738,54.8443
20,2.0000,167.5358,65.0619
21,2.1000,158.3986,64.9473
22,2.2000,174.9368,53.3780
23,2.3000,150.8828,58.2306
24,2.4000,172.7010,57.0093
25,2.5000,150.1560,73.6962
26,2.6000,155.4354,54.7924
27,2.7000,147.7321,77.3385
28,2.8000,147.4178,68.3023
29,2.9000,166.0512,52.2403
30,3.0000,166.9874,67.5204
31,3.1000,162.6535,60.9989
32,3.2000,164.6854,66.5027
33,3.3000,151.3748,65.0473
34,3.4000,152.7037,44.4343
35,3.5000,158.5340,64.4423
36,3.6000,157.1106,44.6660
37,3.7000,174.3809,49.7849
38,3.8000,164.8521,41.4299
39,3.9000,149.1187,39.8936
40,4.0000,153.8483,63.5689
41,4.1000,151.7967,36.0682
42,4.2000,117.8888,81.7696
43,4.3000,128.1229,55.2440
44,4.4000,151.2108,73.9550
45,4.5000,150.1319,58.4013
46,4.6000,146.6153,81.5607
47,4.7000,159.8321,57.7812
48,4.8000,163.8110,71.1207
49,4.9000,170.2054,60.0684
50,5.0000,154.4517,70.8200
51,5.1000,167.7675,63.0429
52,5.2000,158.9264,63.6281
53,5.3000,139.4988,70.3750
54,5.4000,155.4990,70.5612
55,5.5000,150.9758,64.6927
56,5.6000,173.6294,64.5121
57,5.7000,135.7704,79.1576
58,5.8000,158.0044,64.4825
59,5.9000,135.7157,83.7462
60,6.0000,169.9561,56.8626
61,6.1000,162.7592,62.5965
62,6.2000,161.9840,56.3039
63,6.3000,158.8343,68.8861
64,6.4000,154.3797,59.8371
65,6.5000,140.5243,71.3517
66,6.6000,123.2041,82.4245
67,6.7000,166.4936,62.4101
68,6.8000,159.4513,66.5076
69,6.9000,141.9738,73.2004
70,7.0000,166.5463,64.4528
71,7.1000,124.4180,91.2063
72,7.2000,121.6071,69.7042
73,7.3000,169.7634,58.9002
74,7.4000,174.0172,60.9190
75,7.5000,157.6286,62.1916
76,7.6000,140.2450,67.4564
77,7.7000,119.4594,85.0003
78,7.8000,124.1680,77.6973
79,7.9000,125.6362,77.2367
80,8.0000,168.7812,51.2902
81,8.1000,131.7031,91.6805
82,8.2000,149.3646,68.7823
83,8.3000,137.9835,85.6855
84,8.4000,158.4252,67.8931
85,8.5000,146.4535,67.9798
86,8.6000,135.8571,84.8219
87,8.7000,157.9654,54.7832
88,8.8000,154.0267,68.3576
89,8.9000,177.2310,54.0797
90,9.0000,163.2360,71.7108
91,9.1000,137.2744,61.3559
92,9.2000,126.4508,68.4922
93,9.3000,160.0851,50.7293
94,9.4000,137.5291,73.2473
95,9.5000,145.7634,74.7043
96,9.6000,145.0010,70.0968
97,9.7000,144.2015,76.5945
98,9.8000,140.7432,82.3891
99,9.9000,163.9632,49.8264
