frame,time,cluster,rmsd_to_medoid
0,0.0000,2,0.1112
1,0.1000,2,0.1594
2,0.2000,2,0.2165
3,0.3000,2,0.1432
4,0.4000,2,0.1531
5,0.5000,2,0.1795
6,0.6000,2,0.1541
7,0.7000,2,0.1704
8,0.8000,2,0.1871
9,0.9000,2,0.1318
10,1.0000,2,0.1754
11,1.1000,2,0.0000
12,1.2000,2,0.1620
13,1.3000,1,0.2665
14,1.4000,2,0.1934
15,1.5000,2,0.2878
16,1.6000,1,0.1541
17,1.7000,2,0.1718
18,1.8000,2,0.1311
19,1.9000,2,0.2331
20,2.0000,2,0.1186
21,2.1000,2,0.2110
22,2.2000,2,0.1407
23,2.3000,2,0.2214
24,2.4000,2,0.1639
25,2.5000,2,0.1821
26,2.6000,2,0.2580
27,2.7000,2,0.2491
28,2.8000,2,0.0977
29,2.9000,2,0.1914
30,3.0000,2,0.2235
31,3.1000,2,0.3007
32,3.2000,1,0.2360
33,3.3000,2,0.2639
34,3.4000,2,0.2173
35,3.5000,1,0.3431
36,3.6000,1,0.3453
37,3.7000,2,0.2078
38,3.8000,2,0.2766
39,3.9000,2,0.2408
40,4.0000,2,0.1901
41,4.1000,2,0.1055
42,4.2000,1,0.2995
43,4.3000,2,0.2028
44,4.4000,2,0.1690
45,4.5000,2,0.2375
46,4.6000,2,0.2179
47,4.7000,2,0.3669
48,4.8000,2,0.3868
49,4.9000,2,0.2828
50,5.0000,2,0.2671
51,5.1000,2,0.2625
52,5.2000,2,0.2703
53,5.3000,2,0.2758
54,5.4000,2,0.1698
55,5.5000,2,0.3096
56,5.6000,2,0.4744
57,5.7000,2,0.4805
58,5.8000,2,0.4597
59,5.9000,2,0.3816
60,6.0000,2,0.2894
61,6.1000,2,0.1449
62,6.2000,2,0.0979
63,6.3000,2,0.1510
64,6.4000,2,0.2187
65,6.5000,2,0.1874
66,6.6000,2,0.4055
67,6.7000,2,0.3193
68,6.8000,2,0.3387
69,6.9000,2,0.2345
70,7.0000,2,0.1963
71,7.1000,2,0.2152
72,7.2000,2,0.2228
73,7.3000,2,0.3651
74,7.4000,2,0.2773
75,7.5000,2,0.2976
76,7.6000,2,0.1643
77,7.7000,2,0.2532
78,7.8000,2,0.4445
79,7.9000,2,0.4894
80,8.0000,2,0.4122
81,8.1000,2,0.2136
82,8.2000,2,0.2563
83,8.3000,2,0.1727
84,8.4000,2,0.1890
85,8.5000,2,0.1875
86,8.6000,2,0.2204
87,8.7000,2,0.1560
88,8.8000,2,0.1857
89,8.9000,2,0.1674
90,9.0000,2,0.3603
91,9.1000,1,0.1377
92,9.2000,2,0.1320
93,9.3000,2,0.2068
94,9.4000,2,0.2285
95,9.5000,2,0.1314
96,9.6000,1,0.1856
97,9.7000,2,0.3550
98,9.8000,2,0.3066
99,9.9000,2,0.2270
100,10.0000,2,0.1495
101,10.1000,2,0.1007
102,10.2000,2,0.2414
103,10.3000,2,0.3078
104,10.4000,2,0.3099
