d_HH12_Ow,d_HH12_NH1,density,free_energy
0.9097,4.2597,0.0000,
0.9159,4.2597,0.0000,
0.9221,4.2597,0.0000,
0.9282,4.2597,0.0000,
0.9344,4.2597,0.0000,
0.9405,4.2597,0.0000,
0.9467,4.2597,0.0000,
0.9528,4.2597,0.0000,
0.9590,4.2597,0.0000,
0.9652,4.2597,1.3095,1.9649
0.9713,4.2597,1.3095,1.9649
0.9775,4.2597,2.6190,1.5516
0.9836,4.2597,0.0000,
0.9898,4.2597,0.0000,
0.9960,4.2597,0.0000,
1.0021,4.2597,0.0000,
1.0083,4.2597,0.0000,
1.0144,4.2597,0.0000,
1.0206,4.2597,0.0000,
1.0267,4.2597,0.0000,
1.0329,4.2597,0.0000,
1.0391,4.2597,0.0000,
0.9097,4.3837,0.0000,
0.9159,4.3837,0.0000,
0.9221,4.3837,0.0000,
0.9282,4.3837,1.3095,1.9649
0.9344,4.3837,0.0000,
0.9405,4.3837,1.3095,1.9649
0.9467,4.3837,0.0000,
0.9528,4.3837,1.3095,1.9649
0.9590,4.3837,0.0000,
0.9652,4.3837,1.3095,1.9649
0.9713,4.3837,2.6190,1.5516
0.9775,4.3837,1.3095,1.9649
0.9836,4.3837,3.9284,1.3099
0.9898,4.3837,0.0000,
0.9960,4.3837,1.3095,1.9649
1.0021,4.3837,2.6190,1.5516
1.0083,4.3837,0.0000,
1.0144,4.3837,0.0000,
1.0206,4.3837,1.3095,1.9649
1.0267,4.3837,0.0000,
1.0329,4.3837,1.3095,1.9649
1.0391,4.3837,0.0000,
0.9097,4.5077,0.0000,
0.9159,4.5077,0.0000,
0.9221,4.5077,1.3095,1.9649
0.9282,4.5077,0.0000,
0.9344,4.5077,3.9284,1.3099
0.9405,4.5077,0.0000,
0.9467,4.5077,3.9284,1.3099
0.9528,4.5077,5.2379,1.1384
0.9590,4.5077,6.5474,1.0054
0.9652,4.5077,5.2379,1.1384
0.9713,4.5077,3.9284,1.3099
0.9775,4.5077,2.6190,1.5516
0.9836,4.5077,1.3095,1.9649
0.9898,4.5077,2.6190,1.5516
0.9960,4.5077,9.1663,0.8048
1.0021,4.5077,5.2379,1.1384
1.0083,4.5077,0.0000,
1.0144,4.5077,2.6190,1.5516
1.0206,4.5077,1.3095,1.9649
1.0267,4.5077,2.6190,1.5516
1.0329,4.5077,1.3095,1.9649
1.0391,4.5077,0.0000,
0.9097,4.6318,0.0000,
0.9159,4.6318,0.0000,
0.9221,4.6318,1.3095,1.9649
0.9282,4.6318,3.9284,1.3099
0.9344,4.6318,1.3095,1.9649
0.9405,4.6318,10.4758,0.7252
0.9467,4.6318,1.3095,1.9649
0.9528,4.6318,7.8569,0.8967
0.9590,4.6318,5.2379,1.1384
0.9652,4.6318,10.4758,0.7252
0.9713,4.6318,11.7853,0.6550
0.9775,4.6318,7.8569,0.8967
0.9836,4.6318,15.7137,0.4834
0.9898,4.6318,10.4758,0.7252
0.9960,4.6318,3.9284,1.3099
1.0021,4.6318,2.6190,1.5516
1.0083,4.6318,7.8569,0.8967
1.0144,4.6318,5.2379,1.1384
1.0206,4.6318,1.3095,1.9649
1.0267,4.6318,1.3095,1.9649
1.0329,4.6318,0.0000,
1.0391,4.6318,0.0000,
0.9097,4.7558,1.3095,1.9649
0.9159,4.7558,1.3095,1.9649
0.9221,4.7558,1.3095,1.9649
0.9282,4.7558,3.9284,1.3099
0.9344,4.7558,5.2379,1.1384
0.9405,4.7558,5.2379,1.1384
0.9467,4.7558,5.2379,1.1384
0.9528,4.7558,13.0948,0.5921
0.9590,4.7558,13.0948,0.5921
0.9652,4.7558,18.3327,0.3915
0.9713,4.7558,11.7853,0.6550
0.9775,4.7558,11.7853,0.6550
0.9836,4.7558,10.4758,0.7252
0.9898,4.7558,15.7137,0.4834
0.9960,4.7558,9.1663,0.8048
1.0021,4.7558,9.1663,0.8048
1.0083,4.7558,2.6190,1.5516
1.0144,4.7558,6.5474,1.0054
1.0206,4.7558,5.2379,1.1384
1.0267,4.7558,1.3095,1.9649
1.0329,4.7558,0.0000,
1.0391,4.7558,1.3095,1.9649
0.9097,4.8798,0.0000,
0.9159,4.8798,2.6190,1.5516
0.9221,4.8798,2.6190,1.5516
0.9282,4.8798,5.2379,1.1384
0.9344,4.8798,3.9284,1.3099
0.9405,4.8798,7.8569,0.8967
0.9467,4.8798,13.0948,0.5921
0.9528,4.8798,13.0948,0.5921
0.9590,4.8798,22.2611,0.2758
0.9652,4.8798,26.1896,0.1789
0.9713,4.8798,35.3559,-0.0000
0.9775,4.8798,31.4275,0.0702
0.9836,4.8798,19.6422,0.3504
0.9898,4.8798,27.4990,0.1498
0.9960,4.8798,9.1663,0.8048
1.0021,4.8798,11.7853,0.6550
1.0083,4.8798,7.8569,0.8967
1.0144,4.8798,2.6190,1.5516
1.0206,4.8798,2.6190,1.5516
1.0267,4.8798,2.6190,1.5516
1.0329,4.8798,2.6190,1.5516
1.0391,4.8798,1.3095,1.9649
0.9097,5.0038,0.0000,
0.9159,5.0038,1.3095,1.9649
0.9221,5.0038,0.0000,
0.9282,5.0038,0.0000,
0.9344,5.0038,0.0000,
0.9405,5.0038,2.6190,1.5516
0.9467,5.0038,19.6422,0.3504
0.9528,5.0038,18.3327,0.3915
0.9590,5.0038,27.4990,0.1498
0.9652,5.0038,31.4275,0.0702
0.9713,5.0038,30.1180,0.0956
0.9775,5.0038,22.2611,0.2758
0.9836,5.0038,23.5706,0.2417
0.9898,5.0038,26.1896,0.1789
0.9960,5.0038,14.4043,0.5353
1.0021,5.0038,14.4043,0.5353
1.0083,5.0038,3.9284,1.3099
1.0144,5.0038,5.2379,1.1384
1.0206,5.0038,0.0000,
1.0267,5.0038,1.3095,1.9649
1.0329,5.0038,1.3095,1.9649
1.0391,5.0038,2.6190,1.5516
0.9097,5.1278,1.3095,1.9649
0.9159,5.1278,1.3095,1.9649
0.9221,5.1278,0.0000,
0.9282,5.1278,1.3095,1.9649
0.9344,5.1278,5.2379,1.1384
0.9405,5.1278,13.0948,0.5921
0.9467,5.1278,11.7853,0.6550
0.9528,5.1278,13.0948,0.5921
0.9590,5.1278,24.8801,0.2095
0.9652,5.1278,26.1896,0.1789
0.9713,5.1278,22.2611,0.2758
0.9775,5.1278,19.6422,0.3504
0.9836,5.1278,18.3327,0.3915
0.9898,5.1278,10.4758,0.7252
0.9960,5.1278,15.7137,0.4834
1.0021,5.1278,11.7853,0.6550
1.0083,5.1278,14.4043,0.5353
1.0144,5.1278,2.6190,1.5516
1.0206,5.1278,2.6190,1.5516
1.0267,5.1278,0.0000,
1.0329,5.1278,2.6190,1.5516
1.0391,5.1278,0.0000,
0.9097,5.2518,0.0000,
0.9159,5.2518,0.0000,
0.9221,5.2518,0.0000,
0.9282,5.2518,2.6190,1.5516
0.9344,5.2518,2.6190,1.5516
0.9405,5.2518,2.6190,1.5516
0.9467,5.2518,7.8569,0.8967
0.9528,5.2518,7.8569,0.8967
0.9590,5.2518,7.8569,0.8967
0.9652,5.2518,9.1663,0.8048
0.9713,5.2518,17.0232,0.4357
0.9775,5.2518,9.1663,0.8048
0.9836,5.2518,14.4043,0.5353
0.9898,5.2518,9.1663,0.8048
0.9960,5.2518,9.1663,0.8048
1.0021,5.2518,5.2379,1.1384
1.0083,5.2518,5.2379,1.1384
1.0144,5.2518,3.9284,1.3099
1.0206,5.2518,0.0000,
1.0267,5.2518,1.3095,1.9649
1.0329,5.2518,1.3095,1.9649
1.0391,5.2518,0.0000,
0.9097,5.3759,0.0000,
0.9159,5.3759,0.0000,
0.9221,5.3759,0.0000,
0.9282,5.3759,2.6190,1.5516
0.9344,5.3759,2.6190,1.5516
0.9405,5.3759,2.6190,1.5516
0.9467,5.3759,2.6190,1.5516
0.9528,5.3759,1.3095,1.9649
0.9590,5.3759,9.1663,0.8048
0.9652,5.3759,1.3095,1.9649
0.9713,5.3759,6.5474,1.0054
0.9775,5.3759,5.2379,1.1384
0.9836,5.3759,2.6190,1.5516
0.9898,5.3759,3.9284,1.3099
0.9960,5.3759,1.3095,1.9649
1.0021,5.3759,6.5474,1.0054
1.0083,5.3759,6.5474,1.0054
1.0144,5.3759,2.6190,1.5516
1.0206,5.3759,0.0000,
1.0267,5.3759,0.0000,
1.0329,5.3759,1.3095,1.9649
1.0391,5.3759,1.3095,1.9649
0.9097,5.4999,0.0000,
0.9159,5.4999,0.0000,
0.9221,5.4999,0.0000,
0.9282,5.4999,1.3095,1.9649
0.9344,5.4999,0.0000,
0.9405,5.4999,6.5474,1.0054
0.9467,5.4999,2.6190,1.5516
0.9528,5.4999,3.9284,1.3099
0.9590,5.4999,2.6190,1.5516
0.9652,5.4999,6.5474,1.0054
0.9713,5.4999,2.6190,1.5516
0.9775,5.4999,5.2379,1.1384
0.9836,5.4999,0.0000,
0.9898,5.4999,0.0000,
0.9960,5.4999,1.3095,1.9649
1.0021,5.4999,1.3095,1.9649
1.0083,5.4999,2.6190,1.5516
1.0144,5.4999,0.0000,
1.0206,5.4999,1.3095,1.9649
1.0267,5.4999,0.0000,
1.0329,5.4999,0.0000,
1.0391,5.4999,0.0000,
0.9097,5.6239,0.0000,
0.9159,5.6239,0.0000,
0.9221,5.6239,0.0000,
0.9282,5.6239,0.0000,
0.9344,5.6239,0.0000,
0.9405,5.6239,0.0000,
0.9467,5.6239,0.0000,
0.9528,5.6239,0.0000,
0.9590,5.6239,2.6190,1.5516
0.9652,5.6239,1.3095,1.9649
0.9713,5.6239,0.0000,
0.9775,5.6239,0.0000,
0.9836,5.6239,1.3095,1.9649
0.9898,5.6239,3.9284,1.3099
0.9960,5.6239,0.0000,
1.0021,5.6239,1.3095,1.9649
1.0083,5.6239,1.3095,1.9649
1.0144,5.6239,0.0000,
1.0206,5.6239,0.0000,
1.0267,5.6239,0.0000,
1.0329,5.6239,0.0000,
1.0391,5.6239,0.0000,
0.9097,5.7479,0.0000,
0.9159,5.7479,0.0000,
0.9221,5.7479,0.0000,
0.9282,5.7479,0.0000,
0.9344,5.7479,0.0000,
0.9405,5.7479,0.0000,
0.9467,5.7479,2.6190,1.5516
0.9528,5.7479,2.6190,1.5516
0.9590,5.7479,0.0000,
0.9652,5.7479,0.0000,
0.9713,5.7479,0.0000,
0.9775,5.7479,2.6190,1.5516
0.9836,5.7479,0.0000,
0.9898,5.7479,0.0000,
0.9960,5.7479,1.3095,1.9649
1.0021,5.7479,0.0000,
1.0083,5.7479,0.0000,
1.0144,5.7479,1.3095,1.9649
1.0206,5.7479,0.0000,
1.0267,5.7479,0.0000,
1.0329,5.7479,0.0000,
1.0391,5.7479,0.0000,
0.9097,5.8719,0.0000,
0.9159,5.8719,0.0000,
0.9221,5.8719,0.0000,
0.9282,5.8719,0.0000,
0.9344,5.8719,0.0000,
0.9405,5.8719,1.3095,1.9649
0.9467,5.8719,0.0000,
0.9528,5.8719,0.0000,
0.9590,5.8719,0.0000,
0.9652,5.8719,0.0000,
0.9713,5.8719,0.0000,
0.9775,5.8719,0.0000,
0.9836,5.8719,0.0000,
0.9898,5.8719,0.0000,
0.9960,5.8719,0.0000,
1.0021,5.8719,0.0000,
1.0083,5.8719,0.0000,
1.0144,5.8719,0.0000,
1.0206,5.8719,0.0000,
1.0267,5.8719,0.0000,
1.0329,5.8719,0.0000,
1.0391,5.8719,0.0000,
0.9097,5.9959,0.0000,
0.9159,5.9959,0.0000,
0.9221,5.9959,0.0000,
0.9282,5.9959,0.0000,
0.9344,5.9959,0.0000,
0.9405,5.9959,0.0000,
0.9467,5.9959,0.0000,
0.9528,5.9959,0.0000,
0.9590,5.9959,0.0000,
0.9652,5.9959,0.0000,
0.9713,5.9959,0.0000,
0.9775,5.9959,0.0000,
0.9836,5.9959,0.0000,
0.9898,5.9959,0.0000,
0.9960,5.9959,1.3095,1.9649
1.0021,5.9959,0.0000,
1.0083,5.9959,0.0000,
1.0144,5.9959,0.0000,
1.0206,5.9959,0.0000,
1.0267,5.9959,0.0000,
1.0329,5.9959,0.0000,
1.0391,5.9959,0.0000,
0.9097,6.1199,0.0000,
0.9159,6.1199,0.0000,
0.9221,6.1199,0.0000,
0.9282,6.1199,0.0000,
0.9344,6.1199,0.0000,
0.9405,6.1199,0.0000,
0.9467,6.1199,0.0000,
0.9528,6.1199,0.0000,
0.9590,6.1199,0.0000,
0.9652,6.1199,0.0000,
0.9713,6.1199,0.0000,
0.9775,6.1199,0.0000,
0.9836,6.1199,0.0000,
0.9898,6.1199,0.0000,
0.9960,6.1199,0.0000,
1.0021,6.1199,0.0000,
1.0083,6.1199,0.0000,
1.0144,6.1199,0.0000,
1.0206,6.1199,0.0000,
1.0267,6.1199,0.0000,
1.0329,6.1199,0.0000,
1.0391,6.1199,0.0000,
0.9097,6.2440,0.0000,
0.9159,6.2440,0.0000,
0.9221,6.2440,0.0000,
0.9282,6.2440,0.0000,
0.9344,6.2440,0.0000,
0.9405,6.2440,0.0000,
0.9467,6.2440,0.0000,
0.9528,6.2440,0.0000,
0.9590,6.2440,0.0000,
0.9652,6.2440,0.0000,
0.9713,6.2440,0.0000,
0.9775,6.2440,1.3095,1.9649
0.9836,6.2440,0.0000,
0.9898,6.2440,0.0000,
0.9960,6.2440,0.0000,
1.0021,6.2440,0.0000,
1.0083,6.2440,0.0000,
1.0144,6.2440,0.0000,
1.0206,6.2440,0.0000,
1.0267,6.2440,0.0000,
