d_saltbridge,d_OD1_water,density,free_energy
3.1231,2.4331,0.0000,
3.2462,2.4331,0.0000,
3.3692,2.4331,0.0000,
3.4923,2.4331,0.0000,
3.6153,2.4331,0.0000,
3.7384,2.4331,0.2245,2.1023
3.8614,2.4331,0.0000,
3.9845,2.4331,0.0000,
4.1076,2.4331,0.2245,2.1023
4.2306,2.4331,0.0000,
4.3537,2.4331,0.0000,
4.4767,2.4331,0.0000,
4.5998,2.4331,0.0000,
4.7229,2.4331,0.0000,
4.8459,2.4331,0.0000,
4.9690,2.4331,0.0000,
5.0920,2.4331,0.0000,
5.2151,2.4331,0.0000,
5.3382,2.4331,0.0000,
5.4612,2.4331,0.0000,
5.5843,2.4331,0.0000,
5.7073,2.4331,0.0000,
3.1231,2.4693,0.0000,
3.2462,2.4693,0.0000,
3.3692,2.4693,0.0000,
3.4923,2.4693,0.0000,
3.6153,2.4693,0.0000,
3.7384,2.4693,0.0000,
3.8614,2.4693,0.0000,
3.9845,2.4693,0.0000,
4.1076,2.4693,0.2245,2.1023
4.2306,2.4693,0.4490,1.6891
4.3537,2.4693,0.2245,2.1023
4.4767,2.4693,0.0000,
4.5998,2.4693,0.4490,1.6891
4.7229,2.4693,0.0000,
4.8459,2.4693,0.0000,
4.9690,2.4693,0.0000,
5.0920,2.4693,0.0000,
5.2151,2.4693,0.0000,
5.3382,2.4693,0.0000,
5.4612,2.4693,0.0000,
5.5843,2.4693,0.0000,
5.7073,2.4693,0.0000,
3.1231,2.5055,0.0000,
3.2462,2.5055,0.0000,
3.3692,2.5055,0.0000,
3.4923,2.5055,0.0000,
3.6153,2.5055,0.0000,
3.7384,2.5055,0.0000,
3.8614,2.5055,0.0000,
3.9845,2.5055,0.0000,
4.1076,2.5055,0.0000,
4.2306,2.5055,0.4490,1.6891
4.3537,2.5055,0.4490,1.6891
4.4767,2.5055,0.6735,1.4473
4.5998,2.5055,0.4490,1.6891
4.7229,2.5055,1.1225,1.1428
4.8459,2.5055,0.4490,1.6891
4.9690,2.5055,0.4490,1.6891
5.0920,2.5055,0.0000,
5.2151,2.5055,0.0000,
5.3382,2.5055,0.2245,2.1023
5.4612,2.5055,0.0000,
5.5843,2.5055,0.0000,
5.7073,2.5055,0.0000,
3.1231,2.5417,0.0000,
3.2462,2.5417,0.0000,
3.3692,2.5417,0.0000,
3.4923,2.5417,0.0000,
3.6153,2.5417,0.2245,2.1023
3.7384,2.5417,0.4490,1.6891
3.8614,2.5417,1.1225,1.1428
3.9845,2.5417,1.3470,1.0341
4.1076,2.5417,0.8980,1.2758
4.2306,2.5417,3.1429,0.5290
4.3537,2.5417,1.3470,1.0341
4.4767,2.5417,2.6939,0.6209
4.5998,2.5417,2.0205,0.7924
4.7229,2.5417,0.4490,1.6891
4.8459,2.5417,2.2449,0.7296
4.9690,2.5417,0.4490,1.6891
5.0920,2.5417,0.2245,2.1023
5.2151,2.5417,0.0000,
5.3382,2.5417,0.0000,
5.4612,2.5417,0.0000,
5.5843,2.5417,0.0000,
5.7073,2.5417,0.0000,
3.1231,2.5779,0.0000,
3.2462,2.5779,0.0000,
3.3692,2.5779,0.0000,
3.4923,2.5779,0.2245,2.1023
3.6153,2.5779,0.4490,1.6891
3.7384,2.5779,0.0000,
3.8614,2.5779,0.6735,1.4473
3.9845,2.5779,1.5715,0.9422
4.1076,2.5779,2.0205,0.7924
4.2306,2.5779,3.8164,0.4132
4.3537,2.5779,3.1429,0.5290
4.4767,2.5779,4.9389,0.2595
4.5998,2.5779,3.3674,0.4878
4.7229,2.5779,4.9389,0.2595
4.8459,2.5779,2.2449,0.7296
4.9690,2.5779,0.4490,1.6891
5.0920,2.5779,0.6735,1.4473
5.2151,2.5779,0.0000,
5.3382,2.5779,0.0000,
5.4612,2.5779,0.0000,
5.5843,2.5779,0.0000,
5.7073,2.5779,0.0000,
3.1231,2.6141,0.2245,2.1023
3.2462,2.6141,0.0000,
3.3692,2.6141,0.2245,2.1023
3.4923,2.6141,0.0000,
3.6153,2.6141,0.4490,1.6891
3.7384,2.6141,0.4490,1.6891
3.8614,2.6141,1.3470,1.0341
3.9845,2.6141,3.3674,0.4878
4.1076,2.6141,3.3674,0.4878
4.2306,2.6141,7.1838,0.0361
4.3537,2.6141,5.6124,0.1833
4.4767,2.6141,5.6124,0.1833
4.5998,2.6141,4.2654,0.3469
4.7229,2.6141,4.4899,0.3163
4.8459,2.6141,2.2449,0.7296
4.9690,2.6141,1.7960,0.8626
5.0920,2.6141,0.6735,1.4473
5.2151,2.6141,0.2245,2.1023
5.3382,2.6141,0.0000,
5.4612,2.6141,0.0000,
5.5843,2.6141,0.0000,
5.7073,2.6141,0.0000,
3.1231,2.6503,0.0000,
3.2462,2.6503,0.0000,
3.3692,2.6503,0.0000,
3.4923,2.6503,0.4490,1.6891
3.6153,2.6503,0.2245,2.1023
3.7384,2.6503,0.2245,2.1023
3.8614,2.6503,1.5715,0.9422
3.9845,2.6503,0.8980,1.2758
4.1076,2.6503,3.1429,0.5290
4.2306,2.6503,4.9389,0.2595
4.3537,2.6503,4.9389,0.2595
4.4767,2.6503,6.9593,0.0551
4.5998,2.6503,7.6328,-0.0000
4.7229,2.6503,4.0409,0.3792
4.8459,2.6503,2.6939,0.6209
