d_Ow_OD2,a_Ow_H2_OD2,density,free_energy
2.4318,58.8492,0.0000,
2.4780,58.8492,0.0000,
2.5242,58.8492,0.0000,
2.5704,58.8492,0.0039,2.1364
2.6166,58.8492,0.0000,
2.6628,58.8492,0.0000,
2.7091,58.8492,0.0000,
2.7553,58.8492,0.0077,1.7231
2.8015,58.8492,0.0000,
2.8477,58.8492,0.0000,
2.8939,58.8492,0.0000,
2.9401,58.8492,0.0000,
2.9863,58.8492,0.0000,
3.0325,58.8492,0.0000,
3.0787,58.8492,0.0000,
3.1250,58.8492,0.0000,
3.1712,58.8492,0.0000,
3.2174,58.8492,0.0000,
3.2636,58.8492,0.0000,
3.3098,58.8492,0.0000,
3.3560,58.8492,0.0000,
3.4022,58.8492,0.0000,
2.4318,64.4389,0.0000,
2.4780,64.4389,0.0000,
2.5242,64.4389,0.0000,
2.5704,64.4389,0.0000,
2.6166,64.4389,0.0000,
2.6628,64.4389,0.0000,
2.7091,64.4389,0.0000,
2.7553,64.4389,0.0000,
2.8015,64.4389,0.0000,
2.8477,64.4389,0.0000,
2.8939,64.4389,0.0000,
2.9401,64.4389,0.0000,
2.9863,64.4389,0.0039,2.1364
3.0325,64.4389,0.0000,
3.0787,64.4389,0.0000,
3.1250,64.4389,0.0000,
3.1712,64.4389,0.0000,
3.2174,64.4389,0.0000,
3.2636,64.4389,0.0000,
3.3098,64.4389,0.0000,
3.3560,64.4389,0.0000,
3.4022,64.4389,0.0000,
2.4318,70.0286,0.0000,
2.4780,70.0286,0.0000,
2.5242,70.0286,0.0000,
2.5704,70.0286,0.0000,
2.6166,70.0286,0.0039,2.1364
2.6628,70.0286,0.0000,
2.7091,70.0286,0.0039,2.1364
2.7553,70.0286,0.0000,
2.8015,70.0286,0.0000,
2.8477,70.0286,0.0039,2.1364
2.8939,70.0286,0.0039,2.1364
2.9401,70.0286,0.0000,
2.9863,70.0286,0.0000,
3.0325,70.0286,0.0000,
3.0787,70.0286,0.0000,
3.1250,70.0286,0.0000,
3.1712,70.0286,0.0000,
3.2174,70.0286,0.0000,
3.2636,70.0286,0.0000,
3.3098,70.0286,0.0000,
3.3560,70.0286,0.0000,
3.4022,70.0286,0.0000,
2.4318,75.6183,0.0000,
2.4780,75.6183,0.0000,
2.5242,75.6183,0.0000,
2.5704,75.6183,0.0000,
2.6166,75.6183,0.0000,
2.6628,75.6183,0.0000,
2.7091,75.6183,0.0000,
2.7553,75.6183,0.0000,
2.8015,75.6183,0.0039,2.1364
2.8477,75.6183,0.0000,
2.8939,75.6183,0.0039,2.1364
2.9401,75.6183,0.0000,
2.9863,75.6183,0.0000,
3.0325,75.6183,0.0000,
3.0787,75.6183,0.0000,
3.1250,75.6183,0.0000,
3.1712,75.6183,0.0000,
3.2174,75.6183,0.0000,
3.2636,75.6183,0.0000,
3.3098,75.6183,0.0000,
3.3560,75.6183,0.0000,
3.4022,75.6183,0.0000,
2.4318,81.2080,0.0000,
2.4780,81.2080,0.0000,
2.5242,81.2080,0.0000,
2.5704,81.2080,0.0000,
2.6166,81.2080,0.0000,
2.6628,81.2080,0.0000,
2.7091,81.2080,0.0000,
2.7553,81.2080,0.0000,
2.8015,81.2080,0.0039,2.1364
2.8477,81.2080,0.0000,
2.8939,81.2080,0.0000,
2.9401,81.2080,0.0000,
2.9863,81.2080,0.0000,
3.0325,81.2080,0.0000,
3.0787,81.2080,0.0000,
3.1250,81.2080,0.0000,
3.1712,81.2080,0.0039,2.1364
3.2174,81.2080,0.0000,
3.2636,81.2080,0.0000,
3.3098,81.2080,0.0000,
3.3560,81.2080,0.0000,
3.4022,81.2080,0.0000,
2.4318,86.7977,0.0000,
2.4780,86.7977,0.0000,
2.5242,86.7977,0.0000,
2.5704,86.7977,0.0000,
2.6166,86.7977,0.0000,
2.6628,86.7977,0.0000,
2.7091,86.7977,0.0000,
2.7553,86.7977,0.0000,
2.8015,86.7977,0.0000,
2.8477,86.7977,0.0000,
2.8939,86.7977,0.0000,
2.9401,86.7977,0.0000,
2.9863,86.7977,0.0000,
3.0325,86.7977,0.0000,
3.0787,86.7977,0.0000,
3.1250,86.7977,0.0000,
3.1712,86.7977,0.0000,
3.2174,86.7977,0.0000,
3.2636,86.7977,0.0000,
3.3098,86.7977,0.0000,
3.3560,86.7977,0.0000,
3.4022,86.7977,0.0000,
2.4318,92.3874,0.0000,
2.4780,92.3874,0.0000,
2.5242,92.3874,0.0000,
2.5704,92.3874,0.0000,
2.6166,92.3874,0.0000,
2.6628,92.3874,0.0000,
2.7091,92.3874,0.0039,2.1364
2.7553,92.3874,0.0000,
2.8015,92.3874,0.0000,
2.8477,92.3874,0.0000,
2.8939,92.3874,0.0000,
2.9401,92.3874,0.0000,
2.9863,92.3874,0.0039,2.1364
3.0325,92.3874,0.0000,
3.0787,92.3874,0.0000,
3.1250,92.3874,0.0000,
3.1712,92.3874,0.0000,
3.2174,92.3874,0.0000,
3.2636,92.3874,0.0000,
3.3098,92.3874,0.0000,
3.3560,92.3874,0.0000,
3.4022,92.3874,0.0000,
2.4318,97.9771,0.0000,
2.4780,97.9771,0.0000,
2.5242,97.9771,0.0000,
2.5704,97.9771,0.0039,2.1364
2.6166,97.9771,0.0000,
2.6628,97.9771,0.0000,
2.7091,97.9771,0.0000,
2.7553,97.9771,0.0000,
2.8015,97.9771,0.0000,
2.8477,97.9771,0.0000,
2.8939,97.9771,0.0039,2.1364
2.9401,97.9771,0.0000,
2.9863,97.9771,0.0000,
3.0325,97.9771,0.0000,
3.0787,97.9771,0.0000,
3.1250,97.9771,0.0000,
3.1712,97.9771,0.0000,
3.2174,97.9771,0.0000,
3.2636,97.9771,0.0000,
3.3098,97.9771,0.0000,
3.3560,97.9771,0.0000,
3.4022,97.9771,0.0000,
2.4318,103.5668,0.0000,
2.4780,103.5668,0.0000,
2.5242,103.5668,0.0000,
2.5704,103.5668,0.0039,2.1364
2.6166,103.5668,0.0000,
2.6628,103.5668,0.0000,
2.7091,103.5668,0.0000,
2.7553,103.5668,0.0000,
2.8015,103.5668,0.0000,
2.8477,103.5668,0.0000,
2.8939,103.5668,0.0000,
2.9401,103.5668,0.0000,
2.9863,103.5668,0.0039,2.1364
3.0325,103.5668,0.0000,
3.0787,103.5668,0.0039,2.1364
3.1250,103.5668,0.0000,
3.1712,103.5668,0.0000,
3.2174,103.5668,0.0000,
3.2636,103.5668,0.0000,
3.3098,103.5668,0.0000,
3.3560,103.5668,0.0000,
3.4022,103.5668,0.0000,
2.4318,109.1565,0.0000,
2.4780,109.1565,0.0000,
2.5242,109.1565,0.0000,
2.5704,109.1565,0.0000,
2.6166,109.1565,0.0000,
2.6628,109.1565,0.0000,
2.7091,109.1565,0.0000,
2.7553,109.1565,0.0000,
2.8015,109.1565,0.0000,
2.8477,109.1565,0.0000,
2.8939,109.1565,0.0000,
2.9401,109.1565,0.0000,
2.9863,109.1565,0.0000,
3.0325,109.1565,0.0000,
3.0787,109.1565,0.0000,
3.1250,109.1565,0.0000,
3.1712,109.1565,0.0039,2.1364
3.2174,109.1565,0.0000,
3.2636,109.1565,0.0000,
3.3098,109.1565,0.0000,
3.3560,109.1565,0.0000,
3.4022,109.1565,0.0000,
2.4318,114.7462,0.0000,
2.4780,114.7462,0.0000,
2.5242,114.7462,0.0000,
2.5704,114.7462,0.0000,
2.6166,114.7462,0.0000,
2.6628,114.7462,0.0000,
2.7091,114.7462,0.0000,
2.7553,114.7462,0.0000,
2.8015,114.7462,0.0039,2.1364
2.8477,114.7462,0.0000,
2.8939,114.7462,0.0000,
2.9401,114.7462,0.0039,2.1364
2.9863,114.7462,0.0039,2.1364
3.0325,114.7462,0.0000,
3.0787,114.7462,0.0000,
3.1250,114.7462,0.0000,
3.1712,114.7462,0.0000,
3.2174,114.7462,0.0039,2.1364
3.2636,114.7462,0.0000,
3.3098,114.7462,0.0000,
3.3560,114.7462,0.0000,
3.4022,114.7462,0.0000,
2.4318,120.3359,0.0000,
2.4780,120.3359,0.0039,2.1364
2.5242,120.3359,0.0000,
2.5704,120.3359,0.0000,
2.6166,120.3359,0.0000,
2.6628,120.3359,0.0077,1.7231
2.7091,120.3359,0.0116,1.4814
2.7553,120.3359,0.0039,2.1364
2.8015,120.3359,0.0000,
2.8477,120.3359,0.0039,2.1364
2.8939,120.3359,0.0039,2.1364
2.9401,120.3359,0.0077,1.7231
2.9863,120.3359,0.0000,
3.0325,120.3359,0.0000,
3.0787,120.3359,0.0000,
3.1250,120.3359,0.0039,2.1364
3.1712,120.3359,0.0000,
3.2174,120.3359,0.0000,
3.2636,120.3359,0.0000,
3.3098,120.3359,0.0000,
3.3560,120.3359,0.0000,
3.4022,120.3359,0.0000,
2.4318,125.9256,0.0000,
2.4780,125.9256,0.0077,1.7231
2.5242,125.9256,0.0116,1.4814
2.5704,125.9256,0.0116,1.4814
2.6166,125.9256,0.0039,2.1364
2.6628,125.9256,0.0116,1.4814
2.7091,125.9256,0.0194,1.1769
2.7553,125.9256,0.0000,
2.8015,125.9256,0.0116,1.4814
2.8477,125.9256,0.0000,
2.8939,125.9256,0.0000,
2.9401,125.9256,0.0039,2.1364
2.9863,125.9256,0.0000,
3.0325,125.9256,0.0000,
3.0787,125.9256,0.0000,
3.1250,125.9256,0.0000,
3.1712,125.9256,0.0000,
3.2174,125.9256,0.0000,
3.2636,125.9256,0.0000,
3.3098,125.9256,0.0000,
3.3560,125.9256,0.0000,
3.4022,125.9256,0.0000,
2.4318,131.5153,0.0039,2.1364
2.4780,131.5153,0.0000,
2.5242,131.5153,0.0077,1.7231
2.5704,131.5153,0.0000,
2.6166,131.5153,0.0116,1.4814
2.6628,131.5153,0.0194,1.1769
2.7091,131.5153,0.0077,1.7231
2.7553,131.5153,0.0116,1.4814
2.8015,131.5153,0.0116,1.4814
2.8477,131.5153,0.0077,1.7231
2.8939,131.5153,0.0000,
2.9401,131.5153,0.0077,1.7231
2.9863,131.5153,0.0000,
3.0325,131.5153,0.0000,
3.0787,131.5153,0.0039,2.1364
3.1250,131.5153,0.0000,
3.1712,131.5153,0.0000,
3.2174,131.5153,0.0000,
3.2636,131.5153,0.0000,
3.3098,131.5153,0.0000,
3.3560,131.5153,0.0000,
3.4022,131.5153,0.0000,
2.4318,137.1050,0.0039,2.1364
2.4780,137.1050,0.0000,
2.5242,137.1050,0.0116,1.4814
2.5704,137.1050,0.0116,1.4814
2.6166,137.1050,0.0465,0.6550
2.6628,137.1050,0.0387,0.7636
2.7091,137.1050,0.0426,0.7068
2.7553,137.1050,0.0271,0.9763
2.8015,137.1050,0.0348,0.8265
2.8477,137.1050,0.0232,1.0682
2.8939,137.1050,0.0077,1.7231
2.9401,137.1050,0.0039,2.1364
2.9863,137.1050,0.0000,
3.0325,137.1050,0.0000,
3.0787,137.1050,0.0000,
3.1250,137.1050,0.0000,
3.1712,137.1050,0.0000,
3.2174,137.1050,0.0000,
3.2636,137.1050,0.0000,
3.3098,137.1050,0.0000,
3.3560,137.1050,0.0000,
3.4022,137.1050,0.0000,
2.4318,142.6947,0.0039,2.1364
2.4780,142.6947,0.0039,2.1364
2.5242,142.6947,0.0116,1.4814
2.5704,142.6947,0.0387,0.7636
2.6166,142.6947,0.0426,0.7068
2.6628,142.6947,0.0503,0.6072
2.7091,142.6947,0.0658,0.4473
2.7553,142.6947,0.0581,0.5219
2.8015,142.6947,0.0503,0.6072
2.8477,142.6947,0.0232,1.0682
2.8939,142.6947,0.0232,1.0682
2.9401,142.6947,0.0194,1.1769
