r,g_r,n_r
0.0500,0.0000,0.0000
0.1500,0.0000,0.0000
0.2500,0.0000,0.0000
0.3500,0.0000,0.0000
0.4500,0.0000,0.0000
0.5500,0.0000,0.0000
0.6500,0.0000,0.0000
0.7500,0.0000,0.0000
0.8500,0.0000,0.0000
0.9500,0.0000,0.0000
1.0500,0.0000,0.0000
1.1500,0.0000,0.0000
1.2500,0.0000,0.0000
1.3500,0.0000,0.0000
1.4500,0.0000,0.0000
1.5500,0.0000,0.0000
1.6500,0.0000,0.0000
1.7500,0.0000,0.0000
1.8500,0.0000,0.0000
1.9500,0.0000,0.0000
2.0500,0.0000,0.0000
2.1500,0.0000,0.0000
2.2500,0.0000,0.0000
2.3500,0.0000,0.0000
2.4500,0.1007,0.0230
2.5500,1.0834,0.2910
2.6500,2.8447,1.0510
2.7500,2.5200,1.7760
2.8500,1.3527,2.1940
2.9500,0.7521,2.4430
3.0500,0.3702,2.5740
3.1500,0.2278,2.6600
3.2500,0.2115,2.7450
3.3500,0.2085,2.8340
3.4500,0.2385,2.9420
3.5500,0.2503,3.0620
3.6500,0.2486,3.1880
3.7500,0.2580,3.3260
3.8500,0.2075,3.4430
3.9500,0.1786,3.5490
4.0500,0.1635,3.6510
4.1500,0.1130,3.7250
4.2500,0.1077,3.7990
4.3500,0.1320,3.8940
4.4500,0.3239,4.1380
4.5500,0.2946,4.3700
4.6500,0.3380,4.6480
4.7500,0.2668,4.8770
4.8500,0.1520,5.0130
4.9500,0.1169,5.1220
5.0500,0.1175,5.2360
5.1500,0.0862,5.3230
5.2500,0.0753,5.4020
5.3500,0.0533,5.4600
5.4500,0.0628,5.5310
5.5500,0.0555,5.5960
5.6500,0.0856,5.7000
5.7500,0.0747,5.7940
5.8500,0.1168,5.9460
5.9500,0.1559,6.1560
6.0500,0.1738,6.3980
6.1500,0.2238,6.7200
6.2500,0.2477,7.0880
6.3500,0.3136,7.5690
6.4500,0.3374,8.1030
6.5500,0.3364,8.6520
6.6500,0.3573,9.2530
6.7500,0.3150,9.7990
6.8500,0.3048,10.3430
6.9500,0.2906,10.8770
7.0500,0.2623,11.3730
7.1500,0.2504,11.8600
7.2500,0.2056,12.2710
7.3500,0.1932,12.6680
7.4500,0.1800,13.0480
7.5500,0.1863,13.4520
7.6500,0.1689,13.8280
7.7500,0.1606,14.1950
7.8500,0.1937,14.6490
7.9500,0.1947,15.1170
8.0500,0.2369,15.7010
8.1500,0.2660,16.3730
8.2500,0.2885,17.1200
8.3500,0.3491,18.0460
8.4500,0.3608,19.0260
8.5500,0.3985,20.1340
8.6500,0.3907,21.2460
8.7500,0.4196,22.4680
8.8500,0.4045,23.6730
8.9500,0.4001,24.8920
9.0500,0.3999,26.1380
9.1500,0.4019,27.4180
9.2500,0.4016,28.7250
9.3500,0.3963,30.0430
9.4500,0.4165,31.4580
9.5500,0.4093,32.8780
9.6500,0.4294,34.3990
9.7500,0.4245,35.9340
9.8500,0.4186,37.4790
9.9500,0.4360,39.1210
10.0500,0.4365,40.7980
10.1500,0.4254,42.4650
10.2500,0.3881,44.0160
10.3500,0.3993,45.6430
10.4500,0.3780,47.2130
10.5500,0.3940,48.8810
10.6500,0.3994,50.6040
10.7500,0.4120,52.4150
10.8500,0.4444,54.4050
10.9500,0.4378,56.4020
11.0500,0.4485,58.4850
11.1500,0.4333,60.5340
11.2500,0.4624,62.7600
11.3500,0.4585,65.0070
11.4500,0.4746,67.3740
11.5500,0.4637,69.7270
11.6500,0.4687,72.1470
11.7500,0.4678,74.6040
11.8500,0.4604,77.0630
11.9500,0.4716,79.6250
