frame,time,backbone,pair_sidechains
0,0.0000,0.0000,0.0000
1,0.1000,0.2094,0.2428
2,0.2000,0.2918,0.2844
3,0.3000,0.3531,0.3071
4,0.4000,0.3838,0.2542
5,0.5000,0.4091,0.2756
6,0.6000,0.4259,0.2298
7,0.7000,0.4338,0.3493
8,0.8000,0.4238,0.2775
9,0.9000,0.4253,0.2787
10,1.0000,0.4191,0.3186
11,1.1000,0.4150,0.2097
12,1.2000,0.4228,0.2870
13,1.3000,0.4406,0.3689
14,1.4000,0.4494,0.3626
15,1.5000,0.4567,0.4300
16,1.6000,0.4601,0.5639
17,1.7000,0.4599,0.4133
18,1.8000,0.4487,0.3329
19,1.9000,0.4482,0.4131
20,2.0000,0.4555,0.4230
21,2.1000,0.4642,0.5423
22,2.2000,0.4787,0.4782
23,2.3000,0.4746,0.4544
24,2.4000,0.4751,0.4754
25,2.5000,0.4820,0.4562
26,2.6000,0.4850,0.4823
27,2.7000,0.4928,0.5847
28,2.8000,0.4843,0.3712
29,2.9000,0.4892,0.3703
30,3.0000,0.4838,0.4363
31,3.1000,0.4937,0.4963
32,3.2000,0.5062,0.5126
33,3.3000,0.5130,0.4750
34,3.4000,0.5174,0.4534
35,3.5000,0.5216,0.3523
36,3.6000,0.5225,0.4407
37,3.7000,0.5242,0.5089
38,3.8000,0.5254,0.5079
39,3.9000,0.5261,0.4843
40,4.0000,0.5214,0.3787
41,4.1000,0.5138,0.4770
42,4.2000,0.5022,0.4872
43,4.3000,0.5005,0.4590
44,4.4000,0.5001,0.3981
45,4.5000,0.5120,0.2570
46,4.6000,0.5203,0.3091
47,4.7000,0.5357,0.4338
48,4.8000,0.5487,0.4971
49,4.9000,0.5423,0.4017
50,5.0000,0.5372,0.4633
51,5.1000,0.5421,0.4121
52,5.2000,0.5447,0.4110
53,5.3000,0.5557,0.4040
54,5.4000,0.5637,0.3830
55,5.5000,0.5633,0.4425
56,5.6000,0.5667,0.5791
57,5.7000,0.5754,0.5701
58,5.8000,0.5653,0.4635
59,5.9000,0.5594,0.3869
60,6.0000,0.5633,0.3412
61,6.1000,0.5646,0.2946
62,6.2000,0.5646,0.3448
63,6.3000,0.5689,0.4020
64,6.4000,0.5755,0.4627
65,6.5000,0.5848,0.3637
66,6.6000,0.5871,0.5588
67,6.7000,0.5872,0.5346
68,6.8000,0.5940,0.4590
69,6.9000,0.5891,0.3872
70,7.0000,0.5824,0.3170
71,7.1000,0.5749,0.3576
72,7.2000,0.5607,0.3103
73,7.3000,0.5743,0.4401
74,7.4000,0.5725,0.3095
75,7.5000,0.5800,0.4005
76,7.6000,0.5892,0.3791
77,7.7000,0.5974,0.5201
78,7.8000,0.5981,0.4930
79,7.9000,0.5905,0.5017
80,8.0000,0.5809,0.4715
81,8.1000,0.5821,0.3796
82,8.2000,0.5819,0.3678
83,8.3000,0.5805,0.2221
84,8.4000,0.5825,0.4386
85,8.5000,0.5781,0.4538
86,8.6000,0.5747,0.5540
87,8.7000,0.5738,0.5033
88,8.8000,0.5649,0.4076
89,8.9000,0.5775,0.5640
90,9.0000,0.5871,0.6559
91,9.1000,0.5890,0.5499
92,9.2000,0.5879,0.5552
93,9.3000,0.5925,0.5105
94,9.4000,0.5973,0.5811
95,9.5000,0.5947,0.6186
96,9.6000,0.6010,0.5339
97,9.7000,0.6044,0.6683
98,9.8000,0.6026,0.7005
99,9.9000,0.6076,0.6922
100,10.0000,0.6196,0.4937
101,10.1000,0.6428,0.4257
102,10.2000,0.6363,0.6351
