D20_OD1-R32_HH12,D20_OD2-R32_HH22,density,free_energy
1.7155,1.6850,1.7062,0.5779
1.9422,1.6850,2.5851,0.3302
2.1689,1.6850,0.6721,1.1333
2.3957,1.6850,0.2068,1.8359
2.6224,1.6850,0.1034,2.2492
2.8492,1.6850,0.0000,
3.0759,1.6850,0.0000,
3.3026,1.6850,0.0000,
3.5294,1.6850,0.0000,
3.7561,1.6850,0.0517,2.6624
3.9829,1.6850,0.0000,
4.2096,1.6850,0.0000,
4.4363,1.6850,0.0000,
4.6631,1.6850,0.0000,
4.8898,1.6850,0.0000,
1.7155,1.8556,2.5334,0.3422
1.9422,1.8556,4.4981,-0.0000
2.1689,1.8556,1.1374,0.8196
2.3957,1.8556,0.4653,1.3525
2.6224,1.8556,0.1551,2.0075
2.8492,1.8556,0.1551,2.0075
3.0759,1.8556,0.0517,2.6624
3.3026,1.8556,0.2068,1.8359
3.5294,1.8556,0.0517,2.6624
3.7561,1.8556,0.0000,
3.9829,1.8556,0.0000,
4.2096,1.8556,0.0000,
4.4363,1.8556,0.0517,2.6624
4.6631,1.8556,0.0000,
4.8898,1.8556,0.0000,
1.7155,2.0262,0.7238,1.0891
1.9422,2.0262,0.9306,0.9393
2.1689,2.0262,0.4136,1.4227
2.3957,2.0262,0.2068,1.8359
2.6224,2.0262,0.1551,2.0075
2.8492,2.0262,0.1034,2.2492
3.0759,2.0262,0.1034,2.2492
3.3026,2.0262,0.1034,2.2492
3.5294,2.0262,0.0517,2.6624
3.7561,2.0262,0.0000,
3.9829,2.0262,0.0000,
4.2096,2.0262,0.0000,
4.4363,2.0262,0.0000,
4.6631,2.0262,0.0000,
4.8898,2.0262,0.0000,
1.7155,2.1968,0.0517,2.6624
1.9422,2.1968,0.3619,1.5023
2.1689,2.1968,0.1034,2.2492
2.3957,2.1968,0.0517,2.6624
2.6224,2.1968,0.2068,1.8359
2.8492,2.1968,0.0000,
3.0759,2.1968,0.0517,2.6624
3.3026,2.1968,0.1034,2.2492
3.5294,2.1968,0.0000,
3.7561,2.1968,0.0000,
3.9829,2.1968,0.0000,
4.2096,2.1968,0.0000,
4.4363,2.1968,0.0000,
4.6631,2.1968,0.0000,
4.8898,2.1968,0.0000,
1.7155,2.3674,0.0000,
1.9422,2.3674,0.0517,2.6624
